,CITY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Hyderabad,27,22,25,28,28,28,24,23,26.7,28,30,37
2,Vishakapatnam,31,32,16,21,13,13,18,19,17.9,17,20,19
3,Surat,23,26,25,29,26,26,20,20,22.3,26,29,27
4,Banglore Urban,40,40,31,28,28,29,26,20,31.3,31,30,26
5,Ernakulam,19,12,11,13,8,14,16,11.42,21.5,18.5,16,14
6,Bhopal,15,18,15,16,21,20,27,23,12.9,15,14,17
7,Indore,17,17,18,14,20,20,19,20,20.0,21,19,18
8,jabalpur,25,24,24,25,24,24,23,28,23.0,21,17,16
9,Mumbai,42,42,21,33,21,20,14,42,46.3,18,22,27
10,Nagpur,32,30,29,31,34,32,26,25,26.6,27,28,32
11,Nashik,25,29,34,27,27,27,29,23,27.0,22,21,22
12,Pune,38,40,36,58,45,44,42,62,78.3,65.33,75,87
13,Jaipur,34,36,39,37,51,52,40,36,33.7,31,32,27
14,Chennai,9,17,15,24,21,21,22,20,18.3,17.4,16,18
15,Coimbatore,28,29,28,26,27,27,24,25,24.3,25.6,23,18
16,Kolkata,58,56,62,65,59,72,75,56,49.4,41,44,43
17,Delhi,45,49,55,61,6,59,64,65,66.9,68,68,70
18,Patna,39,37,36,36,34,36,38,38,32.0,39,51,51
19,Meerut,42,43,48,45,43,43,39,40.5,55.0,52,58,63
